"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"DANE URZ主ZE娕URZ主ZENIE{1}.STATUS.SΜWO_STATUSU.POTWIERDZENIE_ZAㄔCZENIA";"2015-11-02 11:20:41";-1;1;42310472696,2037
"DANE URZ主ZE娕URZ主ZENIE{9}.STATUS.SΜWO_STATUSU.POTWIERDZENIE_ZAㄔCZENIA";"2015-11-02 11:20:41";-1;1;42310472696,2037
"DANE URZ主ZE娕URZ主ZENIE{8}.STATUS.SΜWO_STATUSU.POTWIERDZENIE_ZAㄔCZENIA";"2015-11-02 11:20:41";-1;1;42310472696,2037
"DANE URZ主ZE娕URZ主ZENIE{7}.STATUS.SΜWO_STATUSU.POTWIERDZENIE_ZAㄔCZENIA";"2015-11-02 11:20:41";-1;1;42310472696,2037
"DANE URZ主ZE娕URZ主ZENIE{6}.STATUS.SΜWO_STATUSU.POTWIERDZENIE_ZAㄔCZENIA";"2015-11-02 11:20:41";-1;1;42310472696,2037
"DANE URZ主ZE娕URZ主ZENIE{5}.STATUS.SΜWO_STATUSU.POTWIERDZENIE_ZAㄔCZENIA";"2015-11-02 11:20:41";-1;1;42310472696,2037
"DANE URZ主ZE娕URZ主ZENIE{31}.STATUS.SΜWO_STATUSU.POTWIERDZENIE_ZAㄔCZENIA";"2015-11-02 11:20:41";-1;1;42310472696,2037
"DANE URZ主ZE娕URZ主ZENIE{30}.STATUS.SΜWO_STATUSU.POTWIERDZENIE_ZAㄔCZENIA";"2015-11-02 11:20:41";-1;1;42310472696,2037
"DANE URZ主ZE娕URZ主ZENIE{3}.STATUS.SΜWO_STATUSU.POTWIERDZENIE_ZAㄔCZENIA";"2015-11-02 11:20:41";-1;1;42310472696,2037
"DANE URZ主ZE娕URZ主ZENIE{29}.STATUS.SΜWO_STATUSU.POTWIERDZENIE_ZAㄔCZENIA";"2015-11-02 11:20:41";-1;1;42310472696,2037
"DANE URZ主ZE娕URZ主ZENIE{28}.STATUS.SΜWO_STATUSU.POTWIERDZENIE_ZAㄔCZENIA";"2015-11-02 11:20:41";-1;1;42310472696,2037
"DANE URZ主ZE娕URZ主ZENIE{27}.STATUS.SΜWO_STATUSU.POTWIERDZENIE_ZAㄔCZENIA";"2015-11-02 11:20:41";-1;1;42310472696,2037
